Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"AGENT UBEZPIECZENIOWY - PRACOWNIK BIUROWY"; "Stargard, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "MACIEJ SZYPULSKI"; "2025-01-08"; 
"Agent ubezpieczeniowy/kasjer"; "Oborniki, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2003-01-23"; 
"Agent w obrocie nieruchomościami"; "Bełchatów, łódzkie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"Agronom-technolog ds.produkcji"; "Wałycz, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-01"; 
"agronom/specjalista ds. planowania produkcji rolnej"; "Krzyżanów, łódzkie"; "Umowa o pracę na okres próbny"; "EUROVEG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-24"; 
"akustyk/oświetleniowiec"; "Góra, dolnośląskie"; "Umowa o pracę na czas określony"; "Dom Kultury w Górze"; "2025-01-07"; 
"Alpinista przemysłowy"; "Kraków, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Projekt - drewno Sławomir Biernacki"; "2025-01-31"; 
"Alpinista przemysłowy/Pomocnik alpinisty (PL/UA)"; "Tychy, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "RopeTechs Alpinizm Przemysłowy Patryk Głowacki"; "2025-01-03"; 
"Analityk d/s jakości."; "Boguchwała, podkarpackie"; "Umowa o pracę na okres próbny"; "ZAKŁADY PORCELANY ELEKTROTECHNICZNEJ ZAPEL SPÓŁKA AKCYJNA"; "2025-01-21"; 
"Analityk ds. Rozwiązań Biznesowych"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-01-23"; 
"Analityk ds. Transakcji Rynku Finansowego"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-02-06"; 
"Analityk ds. zapewnienia jakości"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-02-04"; 
"analityk/weryfikator ekspozycji kredytowych"; "Szczekociny, śląskie"; "Umowa o pracę na okres próbny"; "Bank Spółdzielczy w Szczekocinach"; "2025-01-08"; 
"Animator /pomoc animatora"; "Żory, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-01-16"; 
"Animator czasu wolnego dla dzieci"; "Banie Mazurskie, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-06"; 
"Animator i koordynator sali urodzinowej - osoba z orzeczeniem o lekkim lub umarkowanym stopniu niepełnosprawności - 3/4 etatu (nr 0253)"; "Inowrocław, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "BLOTT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ NON PROFIT"; "2025-02-04"; 
"animator kultury"; "Pisarzowice, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Animator kultury"; "Nieborów, łódzkie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ARENA NIEBORÓW Stanisław Bednarek"; "2025-01-27"; 
"Animator kultury"; "Miedziana Góra, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Animator kultury"; "Sypniewo, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"Animator rekreacji i organizacji czasu wolnego"; "Redzikowo, pomorskie"; "Umowa o pracę na czas określony"; """OŚRODEK SPORTU I REKREACJI REDZIKOWO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"Animator rekreacji i organizacji czasu wolnego"; "Augustów, podlaskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"Animator rekreacji i organizacji czasu wolnego"; "Inca. (Mallorca), Hiszpania"; "Umowa o pracę na czas określony"; "GARDEN HOTELS"; "2025-02-07"; 
"Animator rekreacji w sali zabaw dla dzieci"; "Załakowo, pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-12-13"; 
"Animator sportu"; "Jeziora Wielkie, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. KAZIMIERZA WOŹNIECKIEGO W JEZIORACH WIELKICH"; "2025-02-03"; 
"Animator Sportu i Rekreacji"; "Zdzieszowice, opolskie"; "Umowa o pracę na czas określony"; "Miejsko Gminny Ośrodek Kultury Sportu i Rekreacji"; "2025-02-05"; 
"Animator Turystyczny"; "Zagreb, Chorwacja"; ""; "Love Carpe Diem d.o.o. "; "2024-12-20"; 
"Animator zajęć sportowych "; "Leszno, wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRZEDSZKOLE ""HAPPY - DAYS - SZCZĘŚLIWE DNI"" W LESZNIE"; "2024-12-19"; 
"Animator/pomoc animatora"; "Wodzisław Śląski, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-01-17"; 
"Animator/pomoc animatora"; "Rybnik, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-01-29"; 
"Ankieter K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na okres próbny"; "Urząd Statystyczny w Warszawie"; "2025-01-31"; 
"Ankieter terenowy"; "Rzeszów, podkarpackie"; "Umowa zlecenie / Umowa o świadczenie usług"; "SUN FEE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"APARATOWY"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "ICSO CHEMICAL PRODUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
"Aparatowy obróbki surowca "; "Dobrzyca, wielkopolskie"; "Umowa o pracę na okres próbny"; "Okręgowa Spółdzielnia Mleczarska Kowalew-Dobrzyca"; "2025-01-30"; 
"APARATOWY PROCESÓW CHEMICZNYCH"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "PCC SYNTEZA SPÓŁKA AKCYJNA"; "2024-11-28"; 
"Aparatowy procesów nieorganicznych / ślusarz/spawacz w wytwórni soli chromowych i siarczanów "; "Alwernia, małopolskie"; "Umowa o pracę na okres próbny"; """ALVENTA"" SPÓŁKA AKCYJNA"; "2025-01-29"; 
"Aparatowy procesów nieorganicznych w wytwórni soli chromowych i siarczanów "; "Alwernia, małopolskie"; "Umowa o pracę na okres próbny"; """ALVENTA"" SPÓŁKA AKCYJNA"; "2025-01-24"; 
"Aparatowy procesów nieorganicznych w wytwórni związków fosforowych "; "Alwernia, małopolskie"; "Umowa o pracę na czas określony"; """ALVENTA"" SPÓŁKA AKCYJNA"; "2025-01-24"; 
"Aparatowy Produkcji - instalacja liquid npk"; "Poznań, wielkopolskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO PRODUKCYJNO-CONSULTINGOWE ADOB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA JAWNA"; "2024-12-12"; 
"Aparatowy Produkcji-instalacja płynne mikroelementy"; "Poznań, wielkopolskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO PRODUKCYJNO-CONSULTINGOWE ADOB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA JAWNA"; "2024-12-12"; 
"Aparatowy R104/0233-104/25"; "Nowa Wieś, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "GRANPOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-03"; 
"Aparatowy urządzeń mleczarskich"; "Nowy Dwór Gdański, pomorskie"; "Umowa o pracę na czas określony"; "OKRĘGOWA SPÓŁDZIELNIA MLECZARSKA"; "2025-01-28"; 
"Aparatowy w produkcji węglopochodnych"; "Bytom, śląskie"; "Umowa o pracę na okres próbny"; "KOKSOWNIA BYTOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-22"; 
"aplikant"; "Świdnik, lubelskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-17"; 
"Aplikant - strażnik miejski"; "Wrocław, dolnośląskie"; "Umowa o pracę na czas określony"; "Straż Miejska Wrocławia"; "2025-02-06"; 
"Aplikant lub młodszy strażnik "; "Rybnik, śląskie"; "Umowa o pracę na czas nieokreślony"; "STRAŻ MIEJSKA W RYBNIKU"; "2025-01-31"; 
"Arborysta Pilarz"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "ANNA SZCZUBIAŁ ZAKŁAD KONSERWACJI ZIELENI ""OGRÓD-SYSTEM II"""; "2025-01-23"; 
"Archeolog"; "Międzyrzecz, lubuskie"; "Umowa o pracę na okres próbny"; "Muzeum Ziemi Międzyrzeckiej im. Alfa Kowalskiego"; "2025-01-15"; 
"Architekt"; "Sopot, pomorskie"; "Umowa o pracę na okres próbny"; "BLACKJOB BUDOWY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Architekt / Asystent architekta"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; "2025-01-08"; 
"Architekt/Asystent architekta, Projektant/asystent projektanta branży: drogowej/konstrukcyjnej/instalacji elektrycznych/instalacji sanitarnych"; "Wrocław, dolnośląskie"; "Umowa o pracę na okres próbny"; "DINO POLSKA S.A."; "2025-01-31"; 
"archiwista"; "Żory, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"Archiwista"; "Kraśnik, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-14"; 
"Archiwista"; "Brzeg, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"Archiwista - stażzysta"; "Golub-Dobrzyń, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Archiwista (0,5 etatu) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "X Liceum Ogólnokształcące im. Królowej Jadwigi"; "2025-02-01"; 
"Archiwista k/m"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "X Liceum Ogólnokształcące im. Królowej Jadwigi"; "2025-02-03"; 
"Archiwista zakładowy"; "Słupsk, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Archiwista zakładowy (staż)"; "Ryki, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Aspirant pracy socjalnej"; "Udanin, dolnośląskie"; "Umowa o pracę na czas określony"; "Gminny Ośrodek Pomocy Społecznej w Udaninie"; "2024-11-20"; 
"Aspirant pracy socjalnej"; "Nowe, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"ASPIRANT PRACY SOCJALNEJ"; "Poznań, wielkopolskie"; "Umowa o pracę na czas określony"; "MIEJSKI OŚRODEK POMOCY RODZINIE W POZNANIU"; "2025-02-06"; 
"Aspirant pracy socjalnej "; "Racibórz, śląskie"; "Umowa o pracę na okres próbny"; "Dom Pomocy Społecznej SS. Maryi Niepokalanej"; "2025-01-23"; 
"Aspirant pracy socjalnej - ds. pieczy zastępczej "; "Kołobrzeg, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Powiatowe Centrum Pomocy Rodzinie w Kołobrzegu"; "2025-01-16"; 
"Aspirant pracy socjalnej ofpr/24/0620"; "Bierutów, dolnośląskie"; "Umowa o pracę w zastępstwie"; "Miejsko-Gminny Ośrodek Pomocy Społecznej"; "2024-12-16"; 
"Aspirant pracy socjanej"; "Ostrzeszów, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"Assistant Manager"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-02-07"; 
"Asysten florysty/sprzedawca kwiatów"; "Racibórz, śląskie"; "Umowa o pracę na okres próbny"; "KWIACIARNIA DARIA KRZEMIEŃ"; "2025-01-30"; 
"Asysten/ka Działu Finansowego"; "Warszawa, mazowieckie"; "Umowa o pracę na okres próbny"; "JT Spółka Akcyjna"; "2025-02-06"; 
"Asystent"; "Piotrków Trybunalski, łódzkie"; "Umowa o pracę na okres próbny"; "TOMASZ KOŁODZIEJCZYK ""PROMEDIA"""; "2025-02-07"; 
"Asystent agenta ubezpieczeniowego"; "Pułtusk, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-24"; 
"asystent architekta"; "Wisła Wielka, śląskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2020-05-12"; 
"asystent architekta"; "Zielona Góra, lubuskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"asystent architekta"; "Rzeszów, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Asystent architekta"; "Pruszcz Gdański, pomorskie"; "Umowa o pracę na czas określony"; "B&W Usługi Ogólnobudowlane Bożena Dzidkowska"; "2025-01-16"; 
"Asystent architekta"; "Poznań, wielkopolskie"; "Umowa o pracę na okres próbny"; "DINO POLSKA S.A."; "2025-02-06"; 
"Asystent biura i rekrutacji"; "Bytom, śląskie"; "Umowa o pracę na okres próbny"; "M8B Spółka z ograniczoną odpowiedzialnością"; "2025-01-31"; 
"Asystent biura rozwoju produktu"; "Przyszowice, śląskie"; "Umowa o pracę na okres próbny"; "HALANTEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-24"; 
"Asystent biurowo - magazynowy"; "Śrem, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"Asystent biurowy"; "Pułtusk, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-24"; 
"Asystent biurowy"; "Książ Wielkopolski, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"Asystent biurowy"; "Siedlce, mazowieckie"; "Umowa o pracę na okres próbny"; "Fundacja na rzecz Rozwoju Polskiego Rolnictwa"; "2025-01-31"; 
"Asystent biurowy- osoba wykonująca czynności agencyjne"; "Świecie, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-20"; 
"Asystent brokera"; "Pułtusk, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-24"; 
"asystent cukiernika w zakładzie cukierniczym"; "Łańcut, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-27"; 
"Asystent do spraw dotacji grantowych OZE"; "Piekary Śląskie, śląskie"; "Umowa o pracę na czas określony"; "EKOSCAN INNOWACJA I ROZWÓJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"Asystent do spraw floty"; "Tczew, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"Asystent do spraw koordynacji klienta ze znajomością języka francuskiego"; "Morawica, świętokrzyskie"; "Umowa o pracę na okres próbny"; "ESKA SIERZPUTOWSKA Spółka Jawna"; "2025-02-06"; 
"ASYSTENT DO SPRAW KSIEGOWOŚCI"; "Piliki, podlaskie"; "Umowa o pracę na czas nieokreślony"; "DORADCA PODATKOWY MIROSŁAW ROSZCZYC NR WPISU 10811"; "2025-01-27"; 
"asystent do spraw księgowości"; "Sokołów Podlaski, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"asystent do spraw księgowości"; "Olsztyn, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"asystent do spraw księgowości"; "Olsztyn, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Asystent do spraw księgowości"; "Warszawa, mazowieckie"; "Praktyka absolwencka"; "WW Finance Sp. z o.o."; "2023-09-29"; 
"Asystent do spraw księgowości"; "Jawornik Polski, podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-09-10"; 
"Asystent do spraw księgowości"; "Konieczno, świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "ELBET Sp. z o.o."; "2025-01-03"; 
"Asystent do spraw księgowości"; "Staszów, świętokrzyskie"; "Umowa o pracę na czas określony"; "Cech Rzemieślników i Przedsiębiorców"; "2025-01-08"; 
"Asystent do spraw księgowości"; "Lubań, dolnośląskie"; "Umowa o pracę na okres próbny"; "CHROMEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-14"; 
"Asystent do spraw księgowości"; "Lipsko, mazowieckie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-15"; 
"Asystent do spraw księgowości"; "Radziłów, podlaskie"; "Umowa o pracę na czas określony"; "SPÓŁDZIELNIA USŁUG ROLNICZYCH w Radziłowie"; "2025-01-15"; 
"Asystent do spraw księgowości"; "Lublin, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-17"; 
"Asystent do spraw księgowości"; "Kraśnik, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-17"; 
"Asystent do spraw księgowości"; "Lębork, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-22"; 
"Asystent do spraw księgowości"; "Nowy Tomyśl, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-23"; 
"Asystent do spraw księgowości"; "Gliwice, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-24"; 
"Asystent do spraw księgowości"; "Góra, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-27"; 
"Asystent do spraw księgowości"; "Miłomłyn, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-28"; 
"Asystent do spraw księgowości"; "Mrągowo, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"Asystent do spraw księgowości"; "Żuromin, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-01"; 
"Asystent do spraw księgowości"; "Nowy Sącz, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Asystent do spraw księgowości"; "Giżycko, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Asystent do spraw księgowości"; "Tomaszów Mazowiecki, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Asystent do spraw księgowości"; "Sierpc, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Asystent do spraw księgowości"; "Lębork, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Asystent do spraw księgowości"; "Skawina, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"Asystent do spraw księgowości"; "Morąg, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"Asystent do spraw księgowości"; "Wierzbna, podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-04"; 
"Asystent do spraw księgowości"; "Siciny, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Asystent do spraw księgowości"; "Tarnowskie Góry, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Asystent do spraw księgowości"; "Turek, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Asystent do spraw księgowości"; "Skarszewy, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Asystent do spraw księgowości"; "Strzyżów, podkarpackie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO HANDLOWO PRODUKCYJNO USŁUGOWE ""ZAGRODA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"Asystent do spraw księgowości"; "Suwałki, podlaskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Asystent do spraw księgowości"; "Tomaszów Mazowiecki, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Asystent do spraw księgowości"; "Złotów, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"Asystent do spraw księgowości"; "Nowy Sącz, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Asystent do spraw księgowości"; "Lubaczów, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Asystent do spraw księgowości (staż)"; "Bieruń, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Asystent do spraw księgowości i spraw personalnych"; "Słupsk, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-28"; 
"Asystent do spraw spedycji - Staż"; "Racibórz, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-22"; 
"asystent do spraw zakupów (nr 0239)"; "Bydgoszcz, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"Asystent ds. administracji"; "Bytom, śląskie"; "Umowa o pracę na okres próbny"; "ABAKUS- PODATKI I KSIĘGOWOŚĆ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Asystent ds. administracyjnych (FEP II ISP)"; "Gdynia, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"asystent ds. handlowych"; "Bydgoszcz, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"ASYSTENT DS. HANDLOWYCH"; "Olszowa, opolskie"; "Umowa o pracę na okres próbny"; "Unitube Sp. z o.o."; "2024-11-18"; 
"ASYSTENT DS. HANDLOWYCH"; "Zawadzkie, opolskie"; "Umowa o pracę na okres próbny"; "Unitube Sp. z o.o."; "2024-11-18"; 
"Asystent ds. kadr i płac"; "Mikołów, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Asystent ds. planowania produkcji"; "Mława, mazowieckie"; "Umowa o pracę na okres próbny"; "Fine Altech Mława Sp. z o.o."; "2025-01-28"; 
"Asystent ds. produkcji"; "Kielce, świętokrzyskie"; "Umowa o pracę na okres próbny"; "RANDSTAD POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-13"; 
"Asystent ds. produkcji"; "Zamość, lubelskie"; "Umowa o pracę na okres próbny"; "Zakład Produkcyjno-Handlowy ""SIATEX"" Artur Fert"; "2025-01-23"; 
"Asystent ds. Rozliczania"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Animex Foods Sp. z o.o. Oddział w Iławie"; "2025-01-31"; 
"Asystent ds. rozliczeń kierowców"; "Ślesin, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "KAWCZYŃSKI LOGISTICS Sp. z o.o."; "2025-01-23"; 
"Asystent ds. sprzedaży "; "Chojnice, pomorskie"; "Umowa o pracę na czas określony"; "KAZIMIERZ GINTER ZAKŁAD PRODUKCJI MATERIAŁÓW BUDOWLANYCH ZAKŁAD PRACY CHRONIONEJ"; "2025-01-17"; 
"Asystent ds. technicznych"; "Stalowa Wola, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-24"; 
"Asystent dyrektora"; "Lesko, podkarpackie"; "Umowa o pracę na czas określony"; """BOSZ"" Szymanik i Wspólnicy Spółka Jawna"; "2025-01-20"; 
"Asystent działu handlowego"; "Kutno, łódzkie"; "Umowa o pracę na okres próbny"; """MEGMAR LOGISTICS & CONSULTING"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-21"; 
"Asystent działu produkcji"; "Szemud, pomorskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-22"; 
"Asystent działu produkcji i jakości 1"; "Żyrardów, mazowieckie"; "Umowa o pracę na okres próbny"; "Pomona Company LTD. Sp.z o.o., Zakład Pracy Chronionej"; "2025-01-07"; 
"Asystent działu zaopatrzenia "; "Zagnańsk, świętokrzyskie"; "Umowa o pracę na okres próbny"; """KH - KIPPER"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"Asystent fotografa"; "Sejny, podlaskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-17"; 
"Asystent fryzjera"; "Łazy, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"asystent geodety"; "Rzeszów, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"asystent geodety"; "Rzeszów, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Asystent geodety"; "Zamość, lubelskie"; "Umowa o pracę na czas określony"; "ZDI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-20"; 
"Asystent geodety"; "Łęczyca, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-17"; 
"Asystent geodety"; "Racibórz, śląskie"; "Umowa o pracę na okres próbny"; "GeoLion Kamil Fryczyński"; "2025-02-03"; 
"asystent głównego menadżera działu realizacji"; "Gdynia, pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"Asystent informatyka (sekcja organizacyjna)"; "Rybnik, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-27"; 
"Asystent Inspektora Mostowego"; "Kielce, świętokrzyskie"; "Umowa o pracę na okres próbny"; "INKO CONSULTING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-22"; 
"Asystent Inżynier "; "Rybnik, śląskie"; "Umowa o pracę na okres próbny"; "ALTRAD BABCOCK EUROPE SPÓŁKA AKCYJNA"; "2025-01-21"; 
"Asystent kas samoobslugowych"; "Jasło, podkarpackie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-03"; 
